unemprate,Year,State,total.population,male,female,under_5yrs,X5to9_yrs,X10to14_yrs,X15to19_yrs,X60to64_yrs,X65to74_yrs,X75to84_yrs,X85andover,median_age,X18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,X12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen
8.7,2010,West Virginia,1840802,904625,936177,103758,103585,111795,121975,112679,157038,98962,35162,41.1,1451332,1734615,58968,3139,11482,1840802,879481,1498611,824270,674341,118219,142964,56061,67662,29955,250891,214938,213836,1792375,488519,217529,85926,21143,144591,225320,85749,11568,12349
8.7,2010,Wisconsin,5637947,2795908,2842039,354854,363688,381651,406695,283930,379813,262762,112293,38.1,4294354,4914551,348662,49189,122442,5637947,2593073,4458387,3078465,1379922,415579,356366,171616,536934,94280,795030,641167,717869,5486726,1567586,739826,207485,84160,258329,771735,323267,105865,152122
6.4,2010,Wyoming,545579,277850,267729,37268,36345,34890,38760,29693,36699,21613,8060,37,414429,498326,4135,12786,4138,545579,255096,429389,300640,128749,43619,56225,24932,14729,9686,73344,59855,69530,532007,144682,63710,26428,7058,21256,95427,27977,5936,10776
9.6,2011,Alabama,4747424,2302958,2444466,303661,309698,318525,342300,269195,362130,210022,75182,37.7,3615219,3307557,1244112,26399,52668,4747424,2161247,3748844,2259707,1489137,346118,337259,152113,287034,77134,585032,510673,607193,4632923,1394439,572658,203574,64682,375911,674560,251228,49117,114142
7.6,2011,Alaska,700703,363548,337155,52380,49409,51467,53532,32938,33611,14829,4241,33.8,514606,472504,23426,97628,35912,700703,304373,536544,384749,151795,60499,86065,27814,13411,15000,81972,62655,95453,675078,212221,101453,30524,9506,23883,126875,41882,25340,23016
9.5,2011,Arizona,6337373,3152339,3185034,461855,444053,446301,456092,338767,481716,280469,99277,35.7,4714129,4987541,252127,280986,172290,6337373,2816719,4895581,3027149,1868432,531613,419605,220465,208723,119859,791395,629270,785832,6199144,1867081,849440,256882,88680,336073,1061064,390775,300117,582787
8.3,2011,Arkansas,2895928,1421287,1474641,196325,196223,195740,204445,163803,228866,134431,50247,37.3,2187717,2271277,449283,17239,34815,2895928,1309888,2267563,1373224,894339,223178,205340,88500,179702,48104,356839,305904,371867,2817035,824637,322285,131933,39180,203558,417561,124878,36607,90874
11.7,2011,California,36969200,18387718,18581482,2545224,2487950,2592194,2803559,1763109,2213259,1373016,581558,35.1,27665682,22860341,2252129,287712,4825271,36969200,13631129,28796402,18618649,10177753,2927402,2438873,1087881,1694975,720606,3907817,3026747,4661196,36144015,11619457,5645887,1146426,512221,2099761,5186847,2612035,4580888,5461686
8.4,2011,Colorado,4966061,2489370,2476691,342006,343819,325169,340524,258220,298146,168372,68358,35.9,3753521,4167044,195640,48201,134228,4966061,2197823,3888310,2710732,1177578,398352,357073,206174,178042,82660,694774,549281,638175,4851443,1398991,661410,197518,67921,197949,736321,425109,164576,318639
8.8,2011,Connecticut,3558172,1731389,1826783,203168,223780,240292,253713,199336,247999,167579,83896,39.8,2737968,2796198,347941,8104,134108,3558172,1482798,2839677,1937088,902589,238934,237375,107614,201999,55058,451291,372832,454026,3440558,1047983,484064,119713,42200,164150,420489,375913,221784,252355
7.5,2011,Delaware,890856,432225,458631,55999,56450,56330,63994,52320,70447,40291,15813,38.6,685401,630804,188519,3109,28726,890856,403095,709757,459204,250553,64219,60799,30416,40298,16029,106080,85660,109907,866338,257828,120441,31601,11507,50415,120711,67260,30816,43317
10.2,2011,District of Columbia,593955,280675,313280,33348,26281,25874,42274,29568,36086,21626,10177,34.1,490932,231122,308516,1779,20773,593955,295510,502503,337523,164980,36935,81129,9022,3808,9747,150622,121510,53447,554412,128891,137826,20355,5939,32130,57920,114368,29069,49838
10,2011,Florida,18688787,9138819,9549968,1079187,1076647,1126827,1228375,1105089,1682030,1095375,429048,40.5,14682954,14270053,2946899,58192,455403,18688787,8944635,15169949,9264920,5905029,1237808,1101319,638036,466379,322723,2489843,2022309,2102414,18269007,5148259,2480094,823812,217253,1136780,2701585,1195547,1728317,1867474
10.2,2011,Georgia,9600612,4691368,4909244,688777,691275,679130,713635,477084,586313,307988,111808,35.2,7121933,5849795,2922448,23979,308677,9600612,4063024,7402545,4813601,2588944,789317,678808,318753,466714,158845,1101433,916592,1279005,9345103,2948282,1261649,353373,145467,618820,1259802,605510,327496,601659
6.8,2011,Hawaii,1346554,674569,671985,87406,80235,82458,85776,80630,97220,64808,28998,38.4,1044429,335908,21628,3198,524274,1346554,516394,1079024,717929,361095,98160,130381,50025,20821,24930,135229,105914,153239,1304538,376257,200519,46503,16566,47752,202617,90856,135139,104951
8.3,2011,Idaho,1549987,776969,773018,120039,118177,116118,115767,80462,105546,60086,23971,34.5,1126153,1431372,8823,19584,18714,1549987,661851,1172324,763598,408726,140671,112599,57123,70849,24286,172323,136213,208913,1521101,472459,166712,63315,24054,69445,261462,74065,30355,61769
